gamma_degrees,centered_detection_threshold,devicente_threshold
29.2500000000,0.1823000841,0.3696474592
29.5000000000,0.1823393261,0.3684144171
29.7500000000,0.1823858095,0.3672071769
30.0000000000,0.1824395425,0.3660254038
30.2500000000,0.1825005345,0.3648687720
30.5000000000,0.1825687964,0.3637369648
30.7500000000,0.1826443398,0.3626296739
31.0000000000,0.1827271778,0.3615465999
31.2500000000,0.1828173247,0.3604874512
31.5000000000,0.1829147957,0.3594519445
31.7500000000,0.1830196076,0.3584398046
32.0000000000,0.1831317782,0.3574507636
32.2500000000,0.1832513264,0.3564845615
32.5000000000,0.1833782725,0.3555409453
32.7500000000,0.1835126380,0.3546196696
33.0000000000,0.1836544457,0.3537204957
33.2500000000,0.1838037195,0.3528431921
33.5000000000,0.1839604846,0.3519875337
33.7500000000,0.1841247674,0.3511533024
34.0000000000,0.1842965959,0.3503402862
34.2500000000,0.1844759989,0.3495482796
34.5000000000,0.1846630069,0.3487770834
34.7500000000,0.1848576515,0.3480265044
35.0000000000,0.1850599656,0.3472963553
35.2500000000,0.1852699836,0.3465864548
35.5000000000,0.1854877410,0.3458966273
35.7500000000,0.1857132749,0.3452267027
36.0000000000,0.1859466236,0.3445765168
36.2500000000,0.1861878270,0.3439459103
36.5000000000,0.1864369260,0.3433347299
36.7500000000,0.1866939633,0.3427428270
37.0000000000,0.1869589830,0.3421700585
37.2500000000,0.1872320303,0.3416162863
37.5000000000,0.1875131523,0.3410813774
37.7500000000,0.1878023974,0.3405652036
38.0000000000,0.1880998153,0.3400676415
38.2500000000,0.1884054576,0.3395885729
38.5000000000,0.1887193771,0.3391278838
38.7500000000,0.1890416285,0.3386854652
39.0000000000,0.1893722677,0.3382612127
39.2500000000,0.1897113525,0.3378550263
39.5000000000,0.1900589423,0.3374668105
39.7500000000,0.1904150979,0.3370964744
40.0000000000,0.1907798821,0.3367439313
40.2500000000,0.1911533591,0.3364090990
40.5000000000,0.1915355951,0.3360918993
40.7500000000,0.1919266578,0.3357922587
41.0000000000,0.1923266169,0.3355101075
41.2500000000,0.1927355437,0.3352453805
41.5000000000,0.1931535115,0.3349980163
41.7500000000,0.1935805953,0.3347679578
42.0000000000,0.1940168722,0.3345551521
42.2500000000,0.1944624210,0.3343595500
42.5000000000,0.1949173226,0.3341811067
42.7500000000,0.1953816599,0.3340197810
43.0000000000,0.1958555177,0.3338755360
43.2500000000,0.1963389829,0.3337483386
43.5000000000,0.1968321447,0.3336381597
43.7500000000,0.1973350940,0.3335449739
44.0000000000,0.1978479243,0.3334687601
44.2500000000,0.1983707312,0.3334095007
44.5000000000,0.1989036123,0.3333671823
44.7500000000,0.1994466678,0.3333417951
45.0000000000,0.2000000000,0.3333333333
